,TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,Scientific_Name,Common_Name
24106,43235,DPW Maintained,Pittosporum undulatum :: Victorian Box,1718 21st Ave,1.0,Sidewalk: Curb side : Cutout,Private,7/12/00 0:00,9,,37.75557679,-122.4786302,Pittosporum undulatum ,Victorian Box
24108,218211,DPW Maintained,Pittosporum undulatum :: Victorian Box,51 Taraval St,3.0,Sidewalk: Curb side : Yard,Private,,5,Width 3ft,37.74356244,-122.4650242,Pittosporum undulatum ,Victorian Box
24114,250836,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,283 30th Ave,1.0,Sidewalk: Curb side : Yard,Private,,12,Width 4ft,37.78400111,-122.4904732,Metrosideros excelsa ,New Zealand Xmas Tree
24117,185758,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,2518 Rivera St,4.0,Sidewalk: Curb side : Cutout,Private,,1,Width 0ft,37.74608851,-122.4934369,Metrosideros excelsa ,New Zealand Xmas Tree
24118,248132,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,155 Rutledge St,1.0,Sidewalk: Curb side : Cutout,Private,,18,Width 5ft,37.74538822,-122.4072419,Platanus x hispanica ,Sycamore: London Plane
24124,45794,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,690 25th Ave,3.0,Sidewalk: Curb side : Cutout,Private,11/19/01 0:00,6,,37.77650516,-122.4843852,Platanus x hispanica ,Sycamore: London Plane
24135,97715,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,3100x Polk St,5.0,Sidewalk: Curb side : Cutout,Private,4/28/14 0:00,2,4x8,37.80562716,-122.4236339,Platanus x hispanica ,Sycamore: London Plane
24144,455,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,740X 23rd Ave,12.0,Median : Cutout,DPW,6/9/15 8:09,3,8x100,37.77370591,-122.4821278,Metrosideros excelsa ,New Zealand Xmas Tree
24147,10390,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1365 Haight St,2.0,Sidewalk: Curb side : Cutout,DPW,7/26/94 0:00,70,3X3,37.77024323,-122.4445448,Platanus x hispanica ,Sycamore: London Plane
24159,184413,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,3512 Quintara St,2.0,Sidewalk: Curb side : Cutout,Private,,4,Width 0ft,37.74753404,-122.5030541,Metrosideros excelsa ,New Zealand Xmas Tree
24163,194978,DPW Maintained,Pittosporum undulatum :: Victorian Box,705 Natoma St,2.0,Sidewalk: Curb side : Cutout,Private,,6,Width 2ft,37.77636467,-122.4124746,Pittosporum undulatum ,Victorian Box
24168,23733,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,800X Webster St,8.0,Median : Cutout,DPW,,35,20,37.77866826,-122.4299979,Platanus x hispanica ,Sycamore: London Plane
24169,249583,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1001 Ofarrell St,4.0,Sidewalk: Curb side : Cutout,Private,,8,Width 4ft,37.78459104,-122.4218902,Platanus x hispanica ,Sycamore: London Plane
24173,202372,DPW Maintained,Lophostemon confertus :: Brisbane Box,399 Spear St,8.0,Sidewalk: Curb side : Cutout,Private,,14,Width 5ft,37.78972039,-122.3903877,Lophostemon confertus ,Brisbane Box
24177,23111,DPW Maintained,Lophostemon confertus :: Brisbane Box,1449 Valencia St,1.0,Sidewalk: Curb side : Cutout,DPW,8/11/93 0:00,20,3X3,37.7497322,-122.420324,Lophostemon confertus ,Brisbane Box
24179,181954,DPW Maintained,Pittosporum undulatum :: Victorian Box,2213 Taraval St,2.0,Sidewalk: Curb side : Cutout,Private,,6,Width 0ft,37.74233409,-122.4899423,Pittosporum undulatum ,Victorian Box
24180,14642,DPW Maintained,Pittosporum undulatum :: Victorian Box,600X McAllister St,5.0,Sidewalk: Curb side : Cutout,Private,8/6/92 0:00,8,4x4,37.77989537,-122.42244,Pittosporum undulatum ,Victorian Box
24188,25848,Permitted Site,Platanus x hispanica :: Sycamore: London Plane,800X The Embarcadero,12.0,Sidewalk: Curb side : Cutout,Port,10/30/95 0:00,6,4X4,37.80309769,-122.4012938,Platanus x hispanica ,Sycamore: London Plane
24189,73832,DPW Maintained,Pittosporum undulatum :: Victorian Box,2535 25th Ave,1.0,Sidewalk: Curb side : Cutout,Private,,4,,37.74022506,-122.4820211,Pittosporum undulatum ,Victorian Box
